Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
Horde,"Marguerite Bennett, Leila Leiz",2019,Comics & Graphic Novels,"""After the death of her father, Ruby Ando tries to reconnect with her estranged and isolated mother, whose hoarder house is a nightmare labyrinth of secrets and dangers. All the love Ruby was never shown, she sees her mother lavish on her treasures and trinkets, the possessions that possess her. But when Ruby desperately tries to free her mother, the house wages war, ensnaring both women within its maze. Brought to hideous and twisted life by her mother's love, the ""Horde"" is determined to purge Ruby from the collection--or else see her join it forever.""--Page 4 of cover",9781949028072,NOT_MATURE
The Parable of the Ten Virgins in Matthew 25:1-13,Davis Olin McCamy,1945,Bible,,,NOT_MATURE
The Parable of the Ten Virgins,I. R. Dean,1899,Bible,,,NOT_MATURE
The Interpretation of Matthew 25:1-13 the Parable of the Ten Virgins,John Westerholm,1975,Bible,,,NOT_MATURE
The Parable of the Ten Virgins,"Timothy R. Detweiler, Associated Mennonite Biblical Seminaries. Greek exegesis: Parables class",1980,Bible,,,NOT_MATURE
"A Study of Matthew 25:1-13, the Parable of the Ten Virgins",David E. Schwan,1977,Bible,,,NOT_MATURE
The Parable of the Ten Virgins,Marguerite Gribble Dunning,1940,Bible,,,NOT_MATURE
The Parable of the Ten Virgins Opened and Applied,Thomas Shepard,1695,Bible,,,NOT_MATURE
"The Parable of the Ten Virgins opened and applied: being the substance of divers sermons on Matth. 25. 1-13. ... Published from the authours own notes ... by J. Mitchell, ... T. Shepard, son to the ... author",Thomas SHEPARD (the Elder.),1853,,,,NOT_MATURE
"The Parable of the Ten Virgins Opened & Applied: Being the Substance of Divers Sermons on Matth. 25. 1, 13","Thomas Shepard, Jonathan Mitchel",2018-11-11,History,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",9780353400177,NOT_MATURE
The Parable of the Ten Virgins Opened and Applied,Thomas Shepard,1797,Bible,,,NOT_MATURE
Edward Hopper,Ita G Berkow,2018,Artists,"Considered by most to be one of the greatest painters of the twentieth century, Edward Hopper's work can be found in almost every major museum, and his familiar urban images permeate pop culture in advertisements and on film. Best known for his oil paintings, the New York artist incorporated elements of both the Ashcan and the Impressionist schools of art to create his own, unique style. His favorite theme--the isolation of the individual within America's rapidly progressing society--appears throughout his work, made all the more poignant by his original, realistic technique. In the American Artist series, you'll read about more masters of the art world who not only depicted American life and landscape through beautiful works but also broadened our perspectives by employing the tools of their trade with the highest levels of creativity and insight. Experience firsthand these artists' vision and influence through the seventy or more spectacular, full-color reproductions of their work. Each title in this series includes color photos throughout, and back matter including: an index and further reading lists for books and internet resources. Educational Videos are offered in the back through the use of QR codes, that, when scanned, takes the student to an online video showing a video relating to the book topic. This gives the readers additional content to supplement the text.",9781422241561,NOT_MATURE
Edward Hopper,Ita G. Berkow,1996,Art,An illustrated study of the American painter Edward Hopper.,,NOT_MATURE
Edward Hopper,Ulf Küster,2020-01-01,Art,"Jene unvergleichliche Melancholie im bildnerischen Werk von Edward Hopper lenkt bisweilen den Blick auch auf biografische Details. An welchen konkreten Orten hat dieser Meister der Einsamkeit gelebt und gewirkt? Was waren die für ihn wichtigen Einflüsse, während er an den großen Bildern Amerikas gearbeitet hat? Ulf Küster geht in diesem wunderbar klug und leicht geschriebenen A bis Z genau den Themen nach, die zugleich viel über den Maler und seine Interessen erzählen und dabei doch nie den Künstler und die gebotene Distanz zu seinen unvergleichlichen Bildern aus dem Blick verlieren. So flaniert Küster entlang dem ABC von der »Amerikanischen Landschaft« über »Buick«, »Goethe« oder »Schatten und Sonnenlicht« bis zum Stichwort »Zeit« durch Leben und Werk von Edward Hopper und öffnet dabei viele neue Türen oder Einsichten, die wiederum den Blick auf Hoppers Bilder bereichern und neue Lesarten ermöglichen. Ein ebenso unterhaltsames wie informatives Buch.",9783775746564,NOT_MATURE
Edward Hopper,"Gail Levin, Whitney Museum of American Art, Fairfield County (Stamford, Conn.), Hayward Gallery (London), Stedelijk Museum (Amsterdam), Städtische Kunsthalle (Düsseldorf), Art Institute of Chicago, San Francisco Museum of Modern Art",1980,,,,NOT_MATURE
Edward Hopper,Sherry Marker,1998,Art,"As a major twentieth-century artist, Hopper challenged us to see the ordinary in a new way. His paintings are heavily evocative of the moods of their subjects and present an occasionally voyeuristic view, as if we are intruding on a private moment of the subject. Among his themes are loneliness and alienation and America's urban and rural landscape. Many of his most recognizable and some rarely-seen images make up this volume which features information on his early life, training, and his influences. Hopper was not given to discussing his work in great detail. What he did say. rather succinctly was, ""The whole answer is there on the canvas"".",,NOT_MATURE
Edward Hopper,Gerry Souter,2012-01-17,Art,"In his works, Hopper poetically expressed the solitude of man confronted to the American way of life as it developed in the 1920s. Inspired by the movies and particularly by the various camera angles and attitudes of characters, his paintings expose the alienation of mass culture. Created using cold colours and inhabited by anonymous characters, Hopper’s paintings also symbolically reflect the Great Depression. Through a series of different reproductions (etchings, watercolours, and oil-on-canvas paintings), as well as thematic and artistic analysis, the author sheds new light on the enigmatic and tortured world of this outstanding figure.",9781780427577,NOT_MATURE
Modern life,Barbara Haskel,2009,,,,NOT_MATURE
The Essential Edward Hopper,Justin Spring,1998,Art,"The great American realist Edward Hopper filled his canvases with sinister houses and blank-eyed people, with otherworldly lighting and naked women in motel rooms and theater dancers and movie usherettes and people waiting in lobbies. Hopper's people inhabit an eerie, silent world that hypnotizes viewers.",9780836269987,NOT_MATURE
Edward Hopper,Frank Huntington Stack,1963,Regionalism in art,,,NOT_MATURE
Edward Hopper,"Edward Hopper, Heinz Liesbrock",1988,Art,"Edward Hopper (1882-1967) is generally considered the major twentieth-century realist. Such paintings as House by the Railroad, Early Sunday Morning, and Nighthawks seem to embody the loneliness of the individual in the cities and open spaces of America. Hopper strongly influenced contemporary American art, and there are countless photographs and films inspired by his work. The forty paintings in this volume give a representative overview of Hopper's art.",9780393307641,NOT_MATURE
Trans Mission,Alex Bertie,2019,JUVENILE NONFICTION,"""A brave firsthand account of author Alex Bertie's life, struggles, and victories as a transgender teen, and a guide for transitioning teens""--",9780316490344,NOT_MATURE
Jesus Sat Down and Said--,Gerard Bessiere,1997,Juvenile Nonfiction,A retelling of the parables told by Jesus Christ.,9780886828271,NOT_MATURE
Unbecoming,Anuradha Bhagwati,2019-03-26,Biography & Autobiography,"A raw, unflinching memoir by a former US Marine Captain chronicling her journey from dutiful daughter of immigrants to radical activist effecting historic policy reform. After a lifetime of buckling to the demands of her strict Indian parents, Anuradha Bhagwati abandons grad school in the Ivy League to join the Marines—the fiercest, most violent, most masculine branch of the military—determined to prove herself there in ways she couldn’t before. Yet once training begins, Anuradha’s G.I. Jane fantasy is punctured. As a bisexual woman of color in the military, she faces underestimation at every stage, confronting misogyny, racism, sexual violence, and astonishing injustice perpetrated by those in power. Pushing herself beyond her limits, she also wrestles with what drove her to pursue such punishment in the first place. Once her service concludes in 2004, Anuradha courageously vows to take to task the very leaders and traditions that cast such a dark cloud over her time in the Marines. Her efforts result in historic change, including the lifting of the ban on women from pursuing combat roles in the military. A tale of heroic resilience grappling with the timely question of what, exactly, America stands for, Unbecoming is about one woman who learned to believe in herself in spite of everything. It is the kind of story that will light a fire beneath you, and inspire the next generation of indomitable female heroes.",9781501162541,NOT_MATURE
The Sin-Eater's Confession,Ilsa J. Bick,2014-01-01,Juvenile Fiction,"People in Merit, Wisconsin, always said Jimmy was . . . you know. But people said all sorts of stupid stuff. Nobody really knew anything. Nobody really knew Jimmy. I guess you could say I knew Jimmy as well as anyone (which was not very well). I knew what scared him. And I knew he had dreams?even if I didn't understand them. Even if he nearly ruined my life to pursue them. Jimmy's dead now, and I definitely know that better than anyone. I know about blood and bone and how bodies decompose. I know about shadows and stones and hatchets. I know what a last cry for help sounds like. I know what blood looks like on my own hands. What I don't know is if I can trust my own eyes. I don't know who threw the stone. Who swung the hatchet? Who are the shadows? What do the living owe the dead?",9781467737050,NOT_MATURE
Sorted,Jackson Bird,2019-09-24,Biography & Autobiography,"An unflinching and endearing memoir from LGBTQ+ advocate Jackson Bird about how he finally sorted things out and came out as a transgender man. When Jackson Bird was twenty-five, he came out as transgender to his friends, family, and anyone in the world with an internet connection. Assigned female at birth and raised as a girl, he often wondered if he should have been born a boy. Jackson didn’t share this thought with anyone because he didn’t think he could share it with anyone. Growing up in Texas in the 1990s, he had no transgender role models. He barely remembers meeting anyone who was openly gay, let alone being taught that transgender people existed outside of punchlines. In this “soulful and heartfelt coming-of-age story” (Jamia Wilson, director and publisher of the Feminist Press), Jackson chronicles the ups and downs of growing up gender-confused. Illuminated by journal entries spanning childhood to adolescence to today, he candidly recalls the challenges and loneliness he endured as he came to terms with both his gender and his bisexual identity. With warmth and wit, Jackson also recounts how he navigated the many obstacles and quirks of his transition––like figuring out how to have a chest binder delivered to his NYU dorm room and having an emotional breakdown at a Harry Potter fan convention. From his first shot of testosterone to his eventual top surgery, Jackson lets you in on every part of his journey—taking the time to explain trans terminology and little-known facts about gender and identity along the way. “A compassionate, tender-hearted, and accessible book for anyone who might need a hand to hold as they walk through their own transition or the transition of a loved one” (Austin Chant, author of Peter Darling), Sorted demonstrates the power and beauty in being yourself, even when you’re not sure who “yourself” is.",9781982130756,MATURE
Pablo,"Julie Birmant, Clement Oubrerie",2015-05-05,Comics & Graphic Novels,"This award-winning graphic biography of Pablo Picasso (1881–1973) captures the prolific and eventful life of one of the world's best-loved artists. Pablo explores Picasso's early life among the bohemians of Montmartre, his turbulent relationship with artist/model Fernande Olivier, and how his art developed through friendshipswith poets Max Jacob and Guillaume Apollinaire, the painter Georges Braque, and his great rival Henri Matisse. Julie Birmant and Clément Oubrerie depict a career that began in poverty and reached its climax with the advent of cubism and modern art.",9781906838942,NOT_MATURE
Boy2Girl,Terence Blacker,2017-10-05,Young Adult Fiction,"Matthew’s American cousin comes to live with them: Sam’s small, blond and wild – with a giant attitude problem. He immediately starts to wreak havoc on Matthew’s social life – getting into fights with his friends and causing a scene whenever they go out. School is about to start and Matthew and his friends don’t want these problems to continue, so they come up with a plan for Sam to prove his loyalty to their gang and to trick the mean girls at school. They dare Sam to go to school for the first week as a girl. Told from the viewpoint of each of the characters – some funny, some conceited, some achingly sad.",9781448188901,NOT_MATURE
Boy2Girl,"Terence Blacker, Mechthild Hesse",2015,,,,NOT_MATURE
Boy2Girl,Terence Blacker,2020,,,9783407755773,NOT_MATURE
Boy2girl,Terence Blacker,2016,,,9783125781580,NOT_MATURE
,,,,,9781328778239,NOT_MATURE
The Mighty Heart of Sunny St. James,Ashley Herring Blake,2019-03-26,Juvenile Fiction,"Twelve-year-old Sunny St. James navigates heart surgery, reconnecting with her lost mother, first kisses, and emerging feelings for another girl in this stunning, heartfelt novel--perfect for fans of Erin Entrada Kelly. When Sunny St. James receives a new heart, she decides to set off on a ""New Life Plan"": 1) do awesome amazing things she could never do before; 2) find a new best friend; and 3) kiss a boy for the first time. Everything seems to be racing forward, but when she meets Quinn, Sunny questions whether she really wants to kiss a boy at all. And with the reemergence of her mother, Sunny's journey to becoming the new Sunny St. James will be trickier than expected. Acclaimed author, Ashley Herring Blake's sweet, tender novel will dare readers to find the might in their own hearts.",9780316515504,NOT_MATURE
Holocaust Camps and Killing Centers,Craig E. Blohm,2015-08-01,History,"Between 1938 and 1945 Adolf Hitler and his Nazi regime murdered more than 6 million Jews. This virulent campaign, Hitler's so-called Final Solution, began with hatred and exclusion but steadily escalated to encompass persecution, expulsion, and, finally, annihilation. Understanding the Holocaust presents an unstinting look at the people and events that lie at the heart of this dark period in human history. Individual titles explore specific topics such as the death camps and killing centers, resistance, war criminals, survivors, and more. All titles include extensive (and fully documented) primary source quotes, historical details, and insightful and thoughtful narrative. Book jacket.",9781601528421,NOT_MATURE
Holocaust Rescue and Liberation,Craig E. Blohm,2015-07-01,Juvenile Nonfiction,"Between 1938 and 1945 Adolf Hitler and his Nazi regime murdered more than 6 million Jews. This virulent campaign, Hitler's so-called Final Solution, began with hatred and exclusion but steadily escalated to encompass persecution, expulsion, and, finally, annihilation. Understanding the Holocaust presents an unstinting look at the people and events that lie at the heart of this dark period in human history. Individual titles explore specific topics such as the death camps and killing centers, resistance, war criminals, survivors, and more. All titles include extensive (and fully documented) primary source quotes, historical details, and insightful and thoughtful narrative. Book jacket.",9781601528445,NOT_MATURE
Holocaust Resistance,Craig E. Blohm,2015-04-01,History,"Between 1938 and 1945 Adolf Hitler and his Nazi regime murdered more than 6 million Jews. This virulent campaign, Hitler's so-called Final Solution, began with hatred and exclusion but steadily escalated to encompass persecution, expulsion, and, finally, annihilation. Understanding the Holocaust presents an unstinting look at the people and events that lie at the heart of this dark period in human history. Individual titles explore specific topics such as the death camps and killing centers, resistance, war criminals, survivors, and more. All titles include extensive (and fully documented) primary source quotes, historical details, and insightful and thoughtful narrative. Book jacket.",9781601528469,NOT_MATURE
Someone I Used to Know,Patty Blount,2018-08-07,Young Adult Fiction,"From the award-winning author of Some Boys comes an unflinching examination of rape culture that delves into a family torn apart by sexual assault. It's been two years since the night that changed Ashley's life. Two years since she was raped by her brother's teammate. And a year since she sat in a court and watched as he was given a slap on the wrist sentence. But the years have done nothing to stop the pain. It's been two years of hell for Derek. His family is totally messed up and he and his sister are barely speaking. He knows he handled it all wrong. Now at college, he has to come to terms with what happened, and the rape culture that he was inadvertently a part of that destroyed his sister's life. When it all comes to head at Thanksgiving, Derek and Ashley have to decide if their relationship is able to be saved. And if their family can ever be whole again.",9781492632825,NOT_MATURE
Forever . . .,Judy Blume,2014-04-29,Fiction,Originally published by Bradbury Press in 1975.,9781481414432,NOT_MATURE
Forever . . .,Judy Blume,2002-12,Juvenile Fiction,Two high school seniors believe their love to be so strong that it will last forever.,9780689849732,NOT_MATURE
Forever --,Judy Blume,1976,,"Katherine and Michael meet on New Year's Eve and their attraction is instantaneous. Completely involved with each other, filled with all the wonder of ""the first time,"" they are blissfully unaware of the complications real love presents.",9780671805883,NOT_MATURE
"BFF*: Two novels by Judy Blume--Just As Long As We're Together/Here's to You, Rachel Robinson (*Best Friends Forever)",Judy Blume,2007-03-27,Juvenile Fiction,"In this new bind-up, Judy Blume's two stories about three best friends will reach a new set of girls. Stephanie, Rachel and Alison know there will be plenty of family issues, broken hearts, and tough school assignments as they make their way through junior high. But with a good pair of friends, a girl can do anything.",9780385734073,NOT_MATURE
Forever.,Judy Blume,2004,,,9783596507917,NOT_MATURE
Forever ...,Judy Blume,1991,,,,NOT_MATURE
Forever,"Blume, Judy Blume",1982-07-02,,"Katherine and Michael meet on New Year's Eve and their attraction is instantaneous. Completely involved with each other, filled with all the wonder of ""the first time,"" they are blissfully unaware of the complications real love presents.",9780671455125,NOT_MATURE
Forever,Dora Blume,2019-06-27,,"Bree's ecstatic to be starting college with her childhood best-friend, Cam, but her secret stalker is about to change everything.Bree changed everything for Alexander. He swore he'd never condemn another human life with his blood. A wretched existence as a vampire was his alone, but she was perfect. He had to possess her, change her, bring her into his immortal world. The reign of King Louis XIV was his haunted past, and Bree was his salvation, but would she accept his gift willingly? Bree, standing at a crossroads has to decide. Will she stay with the dark vampire who is enticing in his history and the new life he's laid before her or will she go back to her old life and tell Cameron she's in love with him? Will she even get the chance to tell Cameron before her secret rendezvous are discovered? A dark tale riddled with jealousy and love, which will win out in the end? Find out in Forever.",9781076485335,NOT_MATURE
Forever,Judy Blume,1983,,,,NOT_MATURE
Forever,Judy Blume,1983,,,,NOT_MATURE
Tiger Eyes,Judy Blume,2024-11-05,Young Adult Fiction,"Davey Wexler has never felt so alone. Her father has just been killed—shot in a holdup at the 7-Eleven near their home. And now her mother has transplanted her and her little brother, Jason, to Los Alamos, New Mexico, to stay with family and recover. But Davey is withdrawn, full of rage and fear and loneliness. Then one day, while exploring a canyon, she meets an older boy who calls himself Wolf. Wolf is the only one who understands her—the only one who can read her sad eyes. And he is the one who helps her realize that she must find a way to move forward with her life. Davey is one of Judy Blume’s most hauntingly true human beings, capturing the deep ways a person can change that can’t be seen—only felt. Her story has been felt, deeply, by readers for decades.",9781665980784,NOT_MATURE
Tiger Eyes,Judy Blume,1983,Bereavement,Davey's father is murdered during a raid on his store means that life can never be the same for Davey and her family.,9780330269544,NOT_MATURE
Tiger Eyes./ Judy Blume,Judy Blume,,,,,NOT_MATURE
Tiger Eyes Novel Units Teacher Guide,"Gloria Levine, Novel Units",2019-07-15,Reading (Elementary),Suggests activities to be used in the classroom to accompany the reading of Tiger eyes by Judy Blume.,9781561371952,NOT_MATURE
Tiger Eyes (paperback Section),Judy Blume,1981,,,,NOT_MATURE
Tennyson,Lesley M. M. Blume,2008-01-08,Juvenile Fiction,"It’s 1932, the Depression. Things are evening out among people everywhere. Tennyson Fontaine and her sister Hattie live in a rickety shack of a house with their mother and father and their wild dog, Jos. There is no school, only a rope swing in the living room and endless games of hide-and-seek in the woods on the banks of the Mississippi. But when their mother disappears and their father sets off to find her, the girls find themselves whisked away to Aigredoux, once one of the grandest houses in Louisiana, and now a vine-covered ruin. Under the care of their austere Aunt Henrietta, who is convinced the girls will save the family’s failing fortunes, Tennyson discovers the truth about Aigredoux, the secrets that have remained locked deep within its decaying walls. Caught in a strange web of time and history, Tennyson comes up with a plan to bring Aigreoux’s past to light. But will it bring her mother home?",9780375849343,NOT_MATURE
Man Walks on the Moon,Valerie Bodden,2015,Juvenile Nonfiction,"A look at the causes and global effects of the 1969 moon landing, which led to further space exploration and eventually encouraged international cooperation rather than competition.",9781608185283,NOT_MATURE
The Detour,S. A. Bodeen,2015-10-06,Juvenile Fiction,"Seventeen-year-old Livvy Flynn, a bestselling author of YA fiction, is kidnapped by a woman and her apparently manic daughter who have no intention of letting her go.",9781250055545,NOT_MATURE
A Quick & Easy Guide to They/Them Pronouns,"Archie  Bongiovanni, Tristan Jimerson",2018-06-12,Social Science,"A quick, easy and important educational comic guide to using gender-neutral pronouns. ""A great, simple look at the importance of using correct pronouns; extremely accessible to those for whom gender-neutral language is a new concept."" –– School Library Journal (starred review) Archie, a snarky genderqueer artist, is tired of people not understanding gender neutral pronouns. Tristan, a cisgender dude, is looking for an easy way to introduce gender neutral pronouns to his increasingly diverse workplace. The longtime best friends team up in this short and fun comic guide that explains what pronouns are, why they matter, and how to use them. They also include what to do if you make a mistake, and some tips-and-tricks for those who identify outside of the binary to keep themselves safe in this binary-centric world. A quick and easy resource for people who use they/them pronouns, and people who want to learn more! 2018 Chicago Public Library Best Books of the Year - Teen Nonfiction Publishers Weekly Favorite Reads of 2018 Autostraddle 20 Best LGBTQ Graphic Novels of 2018",9781620104996,NOT_MATURE
A Quick & Easy Guide to They/Them Pronouns: Friends & Family Bundle,"Archie Bongiovanni, Tristan Jimerson",2021-05-11,Young Adult Nonfiction,"As seen on NPR, Entertainment Weekly, Teen Vogue, Wired and more! The bestselling guide on gender neutral language, now in a Quick & Easy bundle to share with friends and family! Includes: 5 copies of A Quick & Easy Guide to They/Them Pronouns and 5 bookmark gifts. Archie, a snarky genderqueer artist, is tired of people not understanding gender neutral pronouns. Tristan, a cisgender dude, is looking for an easy way to introduce gender neutral pronouns to his increasingly diverse workplace. The longtime best friends team up in this short and fun comic guide that explains what pronouns are, why they matter, and how to use them. They also include what to do if you make a mistake and some tips-and-tricks for those who identify outside of the binary to keep themselves safe in this binary-centric world. A quick and easy resource for people who use they/them pronouns, and people who want to learn more! A perfect way to get all your people on the same page with ease and humor!",9781620109298,NOT_MATURE
That's Betty!,Gregory Bonsignore,2022-02-22,Juvenile Nonfiction,"An innovative and joyful picture book biography that celebrates the life and achievements of TV legend, pioneer, and activist Betty White. Betty White is a legend and icon (but you already knew that). In her eighty-year career, she starred on some of the most beloved shows of all time (like The Mary Tyler Moore Show and The Golden Girls, along with dozens more) and received multiple Emmy, American Comedy, and Screen Actors Guild Awards, as well as a Grammy and People’s Choice Award, not to mention a star on the Hollywood Walk of Fame! More than creating some of the most memorable roles in history, Betty helped to make the world a better and more equal place. Early in her career, at a time when women had little power in Hollywood, she starred in, directed, and produced her own shows, creating opportunities for other women and for people from marginalized groups. She campaigned to end bullying and has stood up for the LGBTQIA+ community. And she devoted much of her life advocating for the fair treatment of animals. This innovative picture book biography follows a young boy who is doing a class presentation about Betty White...with a little help from Betty herself! Whimsical yet fact-filled, That’s Betty! tells the story of a life well-lived while celebrating Betty’s many fans. A Who Did It First? Book",9781250796615,NOT_MATURE
Gender Outlaws,"Kate Bornstein, S. Bear Bergman",2010-08-31,Social Science,"This groundbreaking and inspiring collection of dozens of our most original trans voices is a “smart, sexy, and entertaining” (Jack Halberstam) exploration of gender today. Transgender narratives have made their way from the margins to the mainstream and back again, and today’s trans and nonbinary people, genderqueers, and other sex/gender radicals are writing a drastically new world into being. Edited by the original gender outlaw, Kate Bornstein, together with writer, raconteur, and theater artist S. Bear Bergman, Gender Outlaws collects and contextualizes the work of this generation's trans and genderqueer forward thinkers—new voices from the stage, on the streets, in the workplace, in the bedroom, and on the pages and websites of the world's most respected publications. Gender Outlaws includes essays, commentary, comic art, and conversations from a diverse group of trans-spectrum people who live and believe in barrier-breaking lives.",9781580053778,MATURE
Mary's Story,Sarah Jane Boss,1999,Juvenile Nonfiction,Traces the life of the Virgin Mary from her childhood to her assumption.,9781901223446,NOT_MATURE
The Bible Story for Boys and Girls,Walter Russell Bowie,1952,Bible stories,,,NOT_MATURE
The Bible Story for Boys and Girls,Walter Russell Bowie,1952,Bible,"Tells the major stories of the Old Testament, including the creation, Abraham, Joseph, Moses, Ruth, David, Solomon, Esther, and Jonah.",9780687034208,NOT_MATURE
In the Afterlight,Alexandra Bracken,2014-10-28,Juvenile Fiction,"Book three in the hit series that's soon to be a major motion picture starring Amandla Stenberg and Mandy Moore--now with a stunning new look and an exclusive bonus short story that delves into the mind of Clancy Gray. Ruby can’t look back. Fractured by an unbearable loss, she and the kids who survived the government’s attack on Los Angeles travel north to regroup. Only Ruby can keep their highly dangerous prisoner in check. But with Clancy Gray, there's no guarantee you're fully in control, and everything comes with a price. When the Children's League disbands, Ruby rises up as a leader and forms an unlikely allegiance with Liam's brother, Cole, who has a volatile secret of his own. There are still thousands of other Psi kids suffering in government ""rehabilitation camps"" all over the country. Freeing them--revealing the government's unspeakable abuses in the process--is the mission Ruby has claimed since her own escape from Thurmond, the worst camp in the country. But not everyone is supportive of the plan Ruby and Cole craft to free the camps. As tensions rise, competing ideals threaten the mission to uncover the cause of IANN, the disease that killed most of America's children and left Ruby and others with powers the government will kill to keep contained. With the fate of a generation in their hands, there is no room for error. One wrong move could be the spark that sets the world on fire.",9781423187011,NOT_MATURE
In the Afterlight (Bonus Content),Alexandra Bracken,2018-01-02,Young Adult Fiction,"Book three in the hit series that's soon to be a major motion picture starring Amandla Stenberg and Mandy Moore--now with a stunning new paperback look and an exclusive bonus short story that delves into the mind of Clancy Gray. Ruby can't look back. Fractured by an unbearable loss, she and the kids who survived the government's attack on Los Angeles travel north to regroup. Only Ruby can keep their highly dangerous prisoner in check. But with Clancy Gray, there's no guarantee you're fully in control, and everything comes with a price. When the Children's League disbands, Ruby rises up as a leader and forms an unlikely allegiance with Liam's brother, Cole, who has a volatile secret of his own. There are still thousands of other Psi kids suffering in government ""rehabilitation camps"" all over the country. Freeing them--revealing the government's unspeakable abuses in the process--is the mission Ruby has claimed since her own escape from Thurmond, the worst camp in the country. But not everyone is supportive of the plan Ruby and Cole craft to free the camps. As tensions rise, competing ideals threaten the mission to uncover the cause of IANN, the disease that killed most of America's children and left Ruby and others with powers the government will kill to keep contained. With the fate of a generation in their hands, there is no room for error. One wrong move could be the spark that sets the world on fire.",9781368022477,NOT_MATURE
In the Afterlight,Alexandra Bracken,2018-04-23,Interpersonal relations,"Ruby can't look back. Fractured by an unbearable loss, she and the kids who survived the government's attack on Los Angeles travel north to regroup. With them is a prisoner: Clancy Gray, son of the president, and one of the few people Ruby has encountered with abilities like hers. Only Ruby has any power over him, and just one slip could lead to Clancy wreaking havoc on their minds. They are armed only with a volatile secret: proof of a government conspiracy to cover up the real cause of IANN, the disease that has killed most of America's children and left Ruby and others like her with powers the government will kill to keep contained. But internal strife may destroy their only chance to free the ""rehabilitation camps"" housing thousands of other Psi kids. Meanwhile, reunited with Liam, the boy she would and did sacrifice everything for to keep alive, Ruby must face the painful repercussions of having tampered with his memories of her. She turns to Cole, his older brother, to provide the intense training she knows she will need to take down Gray and the government. But Cole has demons of his own, and one fatal mistake may be the spark that sets the world on fire.",9781460755617,NOT_MATURE
In the Afterlight (A Darkest Minds Novel),Alexandra Bracken,2015-12-29,Juvenile Fiction,"Ruby can't look back. Fractured by an unbearable loss, she and the kids who survived the government's attack on Los Angeles travel north to regroup. Only Ruby can keep their highly dangerous prisoner in check. But with Clancy Gray, there's no guarantee you're fully in control, and everything comes with a price. When the Children's League disbands, Ruby rises up as a leader and forms an unlikely allegiance with Liam's brother, Cole, who has a volatile secret of his own. There are still thousands of other Psi kids suffering in government ""rehabilitation camps"" all over the country. Freeing them--revealing the governments unspeakable abuses in the process--is the mission Ruby has claimed since her own escape from Thurmond, the worst camp in the country. But not everyone is supportive of the plan Ruby and Cole craft to free the camps. As tensions rise, competing ideals threaten the mission to uncover the cause of IANN, the disease that killed most of America's children and left Ruby and others with powers the government will kill to keep contained. With the fate of a generation in their hands, there is no room for error. One wrong move could be the spark that sets the world on fire.",9781423159346,NOT_MATURE
In the Afterlight,Alexandra Bracken,2016-11-17,,"The third book in the heart-stopping The Darkest Minds trilogy, by New York Times bestselling author of Passenger, for fans of Divergent and The Hunger Games. The fate of a generation lies in Ruby's hands - and one wrong move could set the world on fire. One of the few survivors of a disease which killed most of America's children, Ruby has emerged as Leader of the rebel group determined to bring the government down. Torn apart by the unbearable loss of Liam, she forms an unlikely alliance with his brother, Cole. But whatever their differences, Ruby and Cole are united by a clear mission: there are thousands like them still suffering in 'rehabilitation camps'. It's up to Ruby to set them free ... 'A riveting emotional read that kept me on the edge.' - Melissa Marr, author of Wicked Lovely Alexandra Bracken is the New York Times bestselling author of Passenger, Wayfarer and The Darkest Minds series. Visit her online at www.alexandrabracken.com and on Twitter @alexbracken.",9781786540201,NOT_MATURE
Passenger,Alexandra Bracken,2016-01-25,JUVENILE FICTION,"""Two worlds collide in this sweeping, romantic novel about a love that crosses centuries by bestselling author of the Darkest Minds series, Alexandra Bracken""--",9781460752043,NOT_MATURE
